skins.css v2 — measured WCAG ratios, computed at generation time.
18 skins. Thresholds: 4.5 all text pairs (7.0 for high-contrast-forest),
3.0 focus/surface + focus/primary, 1.5 border/surface,
series >= 60 deg hue separation and >= 3:1 vs surface.

skin                  txSu tmSu tsSu t2S2 onPr qtQb brBg brSu lkSu fcSu fcPr bdSu  suc  wrn  dng  inf   dH  dist  seSu
jungle-glass          13.4  6.9  4.8  8.6  6.4  8.4 10.6  9.5  8.6 11.5  5.0  1.9  8.8  8.6  8.6  8.7   60    71   6.5
deep-canopy           13.4  6.8  4.8  8.5  6.4  8.3 10.7  9.5  8.6 11.5  5.0  1.9  8.8  8.6  8.6  8.7   60    68   6.5
moss-mist             13.4  6.8  4.8  8.6  6.4  8.4 10.6  9.5  8.6 11.4  5.0  1.9  8.8  8.6  8.6  8.7   60    72   6.6
rainforest-night      13.3  6.8  4.8  8.6  6.4  8.4 10.8  9.5  8.6 11.5  5.0  1.9  8.8  8.6  8.6  8.7   60    74   6.5
fern-clay             13.4  6.8  4.7  8.6  6.6  8.2 10.5  9.3  8.4 11.2  5.0  1.9  8.8  8.6  8.6  8.7   60    63   6.5
emerald-brass         13.4  6.9  4.8  8.6  6.3  8.4 10.6  9.5  8.6 11.6  4.9  1.9  8.8  8.6  8.6  8.7   60    63   6.5
marsh-dusk            13.5  6.8  4.8  8.6  6.5  8.4 10.6  9.5  8.6 11.5  5.0  1.9  8.8  8.6  8.6  8.7   60    74   6.6
copper-canopy         13.4  6.8  4.8  8.6  6.5  8.3 10.6  9.4  8.5 11.3  5.0  1.9  8.8  8.6  8.6  8.7   60    68   6.5
slate-botanical       13.4  6.8  4.8  8.6  6.5  8.3 10.6  9.4  8.5 11.3  5.0  1.9  8.8  8.6  8.6  8.7   60    71   6.5
bamboo-daylight       14.1  6.7  4.8  8.1 12.3  8.3 12.1 13.1  8.1  3.5  3.5  1.6  7.5  7.8  8.2  7.6   60    74   4.8
sandstone-vivarium    14.1  6.7  4.8  8.2 12.5  8.4 12.2 13.3  8.1  3.5  3.5  1.6  7.5  7.8  8.2  7.6   60    60   4.7
high-contrast-forest  19.3 13.7 10.2 15.7  8.8 13.0 14.1 13.3 14.8 18.4  8.4  4.2 14.5 14.3 14.4 14.3   60    68  10.9
nocturne-amber        14.0  7.4  5.2  9.3  7.0  8.5 10.1  9.1  9.2 12.0  5.2  2.0  9.4  9.2  9.2  9.3   60    75   7.3
graphite-neutral      13.0  6.7  4.9  8.3  6.5  7.9 14.5 12.6  8.3 11.2  5.2  1.9  8.7  8.6  8.6  8.6   60    65   6.4
obsidian-canopy       17.9  9.9  6.4 12.9  5.2 12.3 13.2 12.5 13.1 17.2  4.5  2.5 13.3 12.9 12.9 13.1   60    66  10.0
glasshouse-mint       14.9  6.9  5.0  8.5 12.8  8.7 12.3 13.2  8.8  3.7  3.4  1.6  7.9  8.2  8.6  8.0   60    58   5.2
field-daylight        18.5 10.2  6.5 12.6 15.4 11.8 16.0 16.6 11.9  4.5  3.5  1.9 11.3 11.5 12.1 11.4   60    63   7.4

failures: none
